sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
"[""group_1/1703.mp4"",""group_1/0927.mp4"",""group_1/1071.mp4"",""group_1/1703.mp4"",""group_1/0059.mp4"",""group_1/0927.mp4"",""group_1/0283.mp4"",""group_1/1791.mp4"",""group_1/0927.mp4"",""group_1/1169.mp4"",""group_1/1703.mp4"",""group_1/2138.mp4"",""group_1/0927.mp4"",""group_1/1768.mp4"",""group_1/1703.mp4"",""group_1/1292.mp4"",""group_1/0927.mp4"",""group_1/1375.mp4"",""group_1/1703.mp4"",""group_1/1158.mp4"",""group_1/1071.mp4"",""group_1/1375.mp4"",""group_1/0059.mp4"",""group_1/1292.mp4"",""group_1/1071.mp4"",""group_1/1768.mp4"",""group_1/0059.mp4"",""group_1/2138.mp4"",""group_1/1071.mp4"",""group_1/1169.mp4"",""group_1/0059.mp4"",""group_1/1791.mp4"",""group_1/1071.mp4"",""group_1/0283.mp4"",""group_1/0059.mp4"",""group_1/1158.mp4"",""group_1/0283.mp4"",""group_1/1375.mp4"",""group_1/1791.mp4"",""group_1/1292.mp4"",""group_1/0283.mp4"",""group_1/1768.mp4"",""group_1/1791.mp4"",""group_1/2138.mp4"",""group_1/0283.mp4"",""group_1/1169.mp4"",""group_1/1791.mp4"",""group_1/1158.mp4"",""group_1/1169.mp4"",""group_1/1375.mp4"",""group_1/2138.mp4"",""group_1/1292.mp4"",""group_1/1169.mp4"",""group_1/1768.mp4"",""group_1/2138.mp4"",""group_1/1158.mp4"",""group_1/1768.mp4"",""group_1/1375.mp4"",""group_1/1292.mp4"",""group_1/1158.mp4"",""group_1/1375.mp4"",""group_1/1292.mp4"",""group_1/1768.mp4"",""group_1/2138.mp4"",""group_1/1169.mp4"",""group_1/1791.mp4"",""group_1/0283.mp4"",""group_1/0059.mp4"",""group_1/1071.mp4"",""group_1/0927.mp4"",""group_1/1158.mp4""]",0.065740727,-0.414814843,1,0,0,image,0.020370413,-0.369444459,1,0,0,image_2,0.006481524,-0.387962977,1,0,0,image,-0.029629601,-0.375,1,0,0,image,0.047222208,-0.376851894,1,0,0,image,-0.00462963,-0.006481489,1,0,0,center_square_3,0.5,0.042592578,-0.130555541,0,0,0,1,141.2821,1,1,0.042592578,-0.130555541,0,0,0,0,0,0,0,1,videos/0001.mp4,1,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.058333362,0.105555534,1,0,0,4,145.8201,1,2,0,0.002777771,1,0,0,0,1,1,1,1,videos/0002.mp4,2,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,response1disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.101851852,-0.075000021,1,0,0,2,162.5559,1,3,0.002777806,-0.008333347,1,0,0,0,2,2,2,1,videos/0003.mp4,3,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.074074074,0.094444452,1,0,0,-4,175.9444,1,4,0.012962977,-0.01203703,1,0,0,0,3,3,3,1,videos/0004.mp4,4,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.033333319,0.048148155,1,0,0,-4,183.7643,1,5,0.003703718,-0.011111118,1,0,0,0,4,4,4,1,videos/0005.mp4,5,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,response7disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.030555584,-0.082407422,1,0,0,1,198.4199,1,6,-0.014814801,-0.000925947,1,0,0,0,5,5,5,1,videos/0006.mp4,6,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,response3disk,center_square,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007407436,-0.003703718,1,0,0,center_square_3,0.6,,,,,,-2,229.7064,1,1,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,-0.000925912,-0.380555541,1,0,0,image,-0.114814829,-0.081481474,0,0,0,group_1/1703.mp4,-0.114814829,-0.081481474,0,0,0,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,-4,236.418,1,2,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,-0.076851809,0.122222229,1,0,0,group_1/0927.mp4,-0.002777735,0.00462963,1,0,0,1,0,1,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,3,246.2048,1,3,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,0.119444459,0.04074072,1,0,0,group_1/1071.mp4,0.007407436,0,1,0,0,2,0,2,0,1,response1disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,-4,254.6742,1,4,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,-0.025925884,0.057407414,1,0,0,group_1/1703.mp4,0.007407436,-0.009259259,1,0,0,3,0,3,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,-1,262.5437,1,5,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,-0.031481496,-0.10092594,1,0,0,group_1/0059.mp4,0.012037065,0.0074074,1,0,0,4,0,4,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,1,270.38,1,6,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,0.050000014,-0.082407422,1,0,0,group_1/0927.mp4,0.009259259,0.002777771,1,0,0,5,0,5,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,2,293.1393,1,7,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,0.046296296,-0.038888896,1,0,0,group_1/0283.mp4,0.002777806,-0.00462963,1,0,0,6,0,6,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,1,300.8414,1,8,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,0.015740783,-0.091666681,1,0,0,group_1/1791.mp4,0.011111153,0.000925912,1,0,0,7,0,7,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,-2,309.9119,1,9,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,-0.108333305,-0.064814815,1,0,0,group_1/0927.mp4,-0.015740712,-0.006481489,1,0,0,8,0,8,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,322.8669,1,10,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,0.091666681,0.049074067,1,0,0,group_1/1169.mp4,-0.008333347,-0.009259259,1,0,0,9,0,9,0,1,response1disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-4,331.6871,1,11,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,-0.071296268,0.079629616,1,0,0,group_1/1703.mp4,-0.001851824,0.00462963,1,0,0,10,0,10,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,-4,346.5427,1,12,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,-0.006481453,0.057407414,1,0,0,group_1/2138.mp4,0.00462963,0.001851859,1,0,0,11,0,11,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,2,354.5958,1,13,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,0.045370384,-0.030555548,1,0,0,group_1/0927.mp4,-0.00462963,-0.006481489,1,0,0,12,0,12,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,-4,362.9655,1,14,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,-0.049074032,0.069444444,1,0,0,group_1/1768.mp4,0.003703718,0.009259259,1,0,0,13,0,13,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,1,371.5522,1,15,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,0.080555598,-0.092592593,1,0,0,group_1/1703.mp4,0.007407436,0,1,0,0,14,0,14,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,4,386.4422,1,16,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,0.084259245,0.118518511,1,0,0,group_1/1292.mp4,0.006481524,-0.003703718,1,0,0,15,0,15,0,1,response1disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,-4,393.9101,1,17,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,-0.015740712,0.100925905,1,0,0,group_1/0927.mp4,-0.005555541,0.003703683,1,0,0,16,0,16,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,-3,399.4291,1,18,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,-0.113888847,0.020370377,1,0,0,group_1/1375.mp4,-0.000925912,-0.0074074,1,0,0,17,0,17,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,1,407.1652,1,19,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,0.048148191,-0.091666681,1,0,0,group_1/1703.mp4,0.008333347,0.00462963,1,0,0,18,0,18,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,-4,415.5863,1,20,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,-0.008333347,0.107407393,1,0,0,group_1/1158.mp4,0.005555541,0.002777771,1,0,0,19,0,19,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,1,422.1879,1,21,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,0.056481467,-0.087037051,1,0,0,group_1/1071.mp4,-0.001851824,-0.0074074,1,0,0,20,0,20,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,-1,426.6898,1,22,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,-0.04814812,-0.08425928,1,0,0,group_1/1375.mp4,0.011111153,0.013888889,1,0,0,21,0,21,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,1,431.9082,1,23,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,0.077777792,-0.125925912,1,0,0,group_1/0059.mp4,0.008333347,-0.014814836,1,0,0,22,0,22,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,2,442.929,1,24,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,0.123148176,-0.025000007,1,0,0,group_1/1292.mp4,0.014814801,-0.001851859,1,0,0,23,0,23,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,-3,452.5167,1,25,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,-0.117592564,0.059259238,1,0,0,group_1/1071.mp4,-0.003703718,0.010185171,1,0,0,24,0,24,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,-3,460.5536,1,26,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,-0.115740741,0.037962949,1,0,0,group_1/1768.mp4,0.007407436,0.012962942,1,0,0,25,0,25,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,2,467.0561,1,27,,,,,,,,,,,,,hoshikemmei,2024-06-26_05h00.58.259,demoExp_V2,2021.2.3,Win32,60.24096386,,,,,,,,,0.128703718,-0.095370399,1,0,0,group_1/0059.mp4,-0.015740712,-0.010185206,1,0,0,26,0,26,0,1,response3disk_2,center_square_2,,
